Guid,Name,SBQQ__Action__c,SBQQ__Active__c,SBQQ__BrandButton__c,SBQQ__Class__c,SBQQ__ConditionsMet__c,SBQQ__Default__c,SBQQ__Description__c,SBQQ__DisplayOrder__c,SBQQ__EventHandlerName__c,SBQQ__IconClass__c,SBQQ__Icon__c,SBQQ__Label__c,SBQQ__Location__c,SBQQ__PageHandlerName__c,SBQQ__Page__c,SBQQ__ParentCustomAction__c,SBQQ__ReturnURL__c,SBQQ__TargetObject__c,SBQQ__Type__c,SBQQ__URLTarget__c,SBQQ__URL__c
09760de2-058d-41f2-900e-9af2184077ea,Clone Group,Clone Group,true,false,cloneGroupBtn,All,false,#N/A,953.0,onCloneGroup,#N/A,#N/A,Clone Group,Group,#N/A,Quote Line Editor,f1414a87-fd2f-4326-a327-51faa8e54278,#N/A,#N/A,Button,#N/A,#N/A
3a09d371-a5c8-4b52-abd4-232ca0981611,Delete Line,Delete Line,true,false,deleteBtn,All,false,#N/A,992.0,onDeleteLine,sf-icon-delete,delete,Delete Line,Line,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
49a48393-3437-447a-b63f-f7ee4792f787,Delete Group,Delete Group,true,false,deleteGroupBtn,All,false,#N/A,951.0,onDeleteGroup,#N/A,#N/A,Delete Group,Group,#N/A,Quote Line Editor,d4c345c2-3f88-4bb6-8545-36cb7d460f73,#N/A,#N/A,Button,#N/A,#N/A
71a6b1e7-d668-4c38-aebf-68d0e9678c19,Ungroup,Ungroup,true,false,ungroupBtn,All,false,#N/A,906.0,onUngroup,#N/A,#N/A,Ungroup,Quote,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
0c11e188-4993-482e-b502-df08d54dfeef,Save,Save,true,false,saveBtn,All,false,#N/A,190.0,onSave,#N/A,#N/A,Save,Quote,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
6f89b4b1-f04e-4c04-afbf-60baa672e4ad,Separator,#N/A,true,false,#N/A,All,false,#N/A,170.0,#N/A,sbToolSeparator,#N/A,Add Products,Quote,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Separator,#N/A,#N/A
5dd758f0-25ad-49d0-a69f-053675050b87,Delete Lines,Delete Lines,true,false,deleteLinesBtn,All,false,#N/A,120.0,onDeleteLines,#N/A,#N/A,Delete Lines,Quote,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
6f5b0621-7cc5-420b-8afb-150a2a4d985c,Preview Document,Preview Document,true,false,#N/A,All,false,#N/A,917.0,#N/A,#N/A,#N/A,Preview Document,Quote Panel,PreviewDocument,Quote Detail,#N/A,#N/A,#N/A,Button,#N/A,#N/A
2fe64f01-ef28-4e36-805c-d7fd64c3fab7,Optional: All - Quote,Optional: All,true,false,optionalAllBtn,All,false,#N/A,910.0,updateLineOptional,sb-icon-circle-empty,circle-empty,Optional: All,Quote,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
390315b1-5ddd-424e-8e40-e1f553d676ba,Edit Lines,Edit Lines,true,false,#N/A,All,false,#N/A,912.0,#N/A,#N/A,#N/A,Edit Lines,Quote Panel,sb,Quote Detail,#N/A,#N/A,#N/A,Button,#N/A,#N/A
ac2d5c1a-6245-4316-bc75-288f0a1ca573,Add To Favorites,Add To Favorites,true,false,addToFavBtn,All,false,#N/A,990.0,onAddToFavorites,sb-icon-star-empty,star-empty,Add To Favorites,Line,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
828974ae-91db-4220-85e9-33a1726e063b,Amend Assets,Amend Assets,true,false,#N/A,All,false,#N/A,920.0,#N/A,#N/A,#N/A,Amend Assets,Account Panel,AssetSelectorAmend,Account Detail,#N/A,#N/A,#N/A,Button,#N/A,#N/A
bb86b7f4-e2fa-4d14-9fe3-e5afc8f787b2,Optional: All - Group,Optional: All,true,false,optionalAllBtn,All,false,#N/A,951.0,updateLineOptional,#N/A,#N/A,Optional: All,Group,#N/A,Quote Line Editor,f1414a87-fd2f-4326-a327-51faa8e54278,#N/A,#N/A,Button,#N/A,#N/A
9c836585-8a1d-47a0-b722-757e2b742d3d,Desegment Line,Desegment Line,true,false,desegmentBtn,All,false,#N/A,995.0,onDesegmentLine,sf-icon-magicwand,magicwand,Desegment Line,Line,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
1d0206c5-3fae-4d8f-b6a1-99cd7116f31d,Cancel,Cancel,true,false,cancelBtn,All,false,#N/A,915.0,onCancel,#N/A,#N/A,Cancel,Quote,#N/A,Quote Line Editor,#N/A,#N/A,#N/A,Button,#N/A,#N/A
38f514e4-ec6d-4e8f-8177-7b009191b792,Upgrade Assets,Upgrade Assets,true,false,upgradeAssetsBtn,All,false,#N/A,902.0,onUpgradeAssets,#N/A,#N/A,Upgrade Assets,Quote/Group,#N/A,Quote Line Editor,d4c345c2-3f88-4bb6-8545-36cb7d460f73,#N/A,#N/A,Button,#N/A,#N/A
5441c557-7565-4698-b8cf-e986da173e29,Optional: None - Group,Optional: None,true,false,optionalNoneBtn,All,false,#N/A,952.0,updateLineOptional,#N/A,#N/A,Optional: None,Group,#N/A,Quote Line Editor,f1414a87-fd2f-4326-a327-51faa8e54278,#N/A,#N/A,Button,#N/A,#N/A
